acc,superkingdom,phylum
AAF15891.2,NA,NA
CCP45167.1,NA,NA
CAA82227.1,NA,NA
CAA82227.1,NA,NA
CAA82227.1,NA,NA
CAA82227.1,NA,NA
CAA82227.1,NA,NA
CAA82227.1,NA,NA
CAA82227.1,NA,NA
CAA82227.1,NA,NA
CAA82227.1,NA,NA
CAA82227.1,NA,NA
CAA82227.1,NA,NA
AGC65513.1,NA,NA
AGC65515.1,NA,NA
CP001614.2,NA,NA
CP001614.2,NA,NA
CAC01604.1,NA,NA
CAC01604.1,NA,NA
CAF05647.1,NA,NA
AAF08796.1,NA,NA
AAF08796.1,NA,NA
AAF08796.1,NA,NA
AAF08796.1,NA,NA
AAC06346.1,NA,NA
AAC06346.1,NA,NA
AAC06346.1,NA,NA
AAC06346.1,NA,NA
AAC06346.1,NA,NA
BAC12912.1,NA,NA
AAG02355.1,NA,NA
AAG02355.1,NA,NA
AAM80537.1,NA,NA
AAM80537.1,NA,NA
AAM80537.1,NA,NA
AAK81824.1,NA,NA
AAK81824.1,NA,NA
AAS47564.1,NA,NA
AAB80956.1,NA,NA
AAB80956.1,NA,NA
AAF00962.1,NA,NA
BAA83994.1,NA,NA
BAA83992.1,NA,NA
BAA83992.1,NA,NA
AFZ61525.1,NA,NA
AFZ61525.1,NA,NA
AFZ61525.1,NA,NA
AFZ61525.1,NA,NA
AFZ61526.1,NA,NA
AFZ61526.1,NA,NA
AFZ61526.1,NA,NA
AIR74926.1,NA,NA
AIR74925.1,NA,NA
CAA72310.1,NA,NA
CAA72310.1,NA,NA
AAN07014.1,NA,NA
AAN07014.1,NA,NA
CAE11248.1,NA,NA
CAE11248.1,NA,NA
AAD56240.1,NA,NA
AAD56240.1,NA,NA
CAA84360.1,NA,NA
CAA84360.1,NA,NA
AAC15909.1,NA,NA
AGC24265.1,NA,NA
AAO64403.1,NA,NA
AAO64403.1,NA,NA
AAS47562.1,NA,NA
CAA06324.1,NA,NA
CAA06324.1,NA,NA
CAA06324.1,NA,NA
AID65222.1,NA,NA
AID65224.1,NA,NA
AID65224.1,NA,NA
AID65225.1,NA,NA
WP_044649525.1,NA,NA
AAB60198.1,NA,NA
AAB60198.1,NA,NA
AAG05812.1,NA,NA
AAG05812.1,NA,NA
AAY29578.1,NA,NA
CAA51561.1,NA,NA
AAN85522.1,NA,NA
AAC36721.1,NA,NA
AAC36721.1,NA,NA
CAA55749.1,NA,NA
AAG00564.1,NA,NA
AAM80538.1,NA,NA
CAE02631.1,NA,NA
CAE02631.1,NA,NA
CAE02631.1,NA,NA
AAP92491.1,NA,NA
AAP92491.1,NA,NA
CAD89774.1,NA,NA
AAK46746.1,NA,NA
AAO92378.1,NA,NA
AAT70101.1,NA,NA
AAA93464.1,NA,NA
